From Date,To Date,pm2_5,pm10,NO,NO2,NOx
06-10-2021 00:00,06-10-2021 00:15,25,None,13,16.1,29.1
06-10-2021 00:15,06-10-2021 00:30,25,99,18.6,16.6,35.3
06-10-2021 00:30,06-10-2021 00:45,25,99,14.4,15.8,30.2
06-10-2021 00:45,06-10-2021 01:00,25,99,13.2,16.5,29.7
06-10-2021 01:00,06-10-2021 01:15,29,83,10.9,15.1,26.1
06-10-2021 01:15,06-10-2021 01:30,29,83,9,16.5,25.6
06-10-2021 01:30,06-10-2021 01:45,29,83,9.4,15.9,25.3
06-10-2021 01:45,06-10-2021 02:00,29,83,14.8,13.9,28.6
06-10-2021 02:00,06-10-2021 02:15,22,50,None,None,None
06-10-2021 02:15,06-10-2021 02:30,22,50,None,None,None
06-10-2021 02:30,06-10-2021 02:45,22,50,None,None,None
06-10-2021 02:45,06-10-2021 03:00,22,50,18.9,15.3,34.2
06-10-2021 03:00,06-10-2021 03:15,27,48,22.2,15.5,37.7
06-10-2021 03:15,06-10-2021 03:30,27,48,27.1,15.5,42.5
06-10-2021 03:30,06-10-2021 03:45,27,48,34,13.3,47.4
06-10-2021 03:45,06-10-2021 04:00,27,48,45.7,14.5,60.2
06-10-2021 04:00,06-10-2021 04:15,25,53,40.8,17.7,58.6
06-10-2021 04:15,06-10-2021 04:30,25,53,35.5,15.7,51.2
06-10-2021 04:30,06-10-2021 04:45,None,None,None,None,None
06-10-2021 04:45,06-10-2021 05:00,25,53,43.1,11,54.1
06-10-2021 05:00,06-10-2021 05:15,24,50,33.2,15.4,48.6
06-10-2021 05:15,06-10-2021 05:30,24,50,27.3,14.6,41.9
06-10-2021 05:30,06-10-2021 05:45,24,50,34.9,15,49.8
06-10-2021 05:45,06-10-2021 06:00,24,50,27.5,15.6,43.1
06-10-2021 06:00,06-10-2021 06:15,24,50,25,15.7,40.6
06-10-2021 06:15,06-10-2021 06:30,24,50,23.4,13.4,36.8
06-10-2021 06:30,06-10-2021 06:45,24,50,22.3,15.2,37.5
06-10-2021 06:45,06-10-2021 07:00,24,50,23.6,13.9,37.5
06-10-2021 07:00,06-10-2021 07:15,31,56,20.7,14.7,35.3
06-10-2021 07:15,06-10-2021 07:30,31,56,15.4,14.4,29.8
06-10-2021 07:30,06-10-2021 07:45,31,56,13.4,17.6,30.9
06-10-2021 07:45,06-10-2021 08:00,31,56,11.9,15.4,27.4
06-10-2021 08:00,06-10-2021 08:15,44,77,9.3,16.1,25.4
06-10-2021 08:15,06-10-2021 08:30,44,77,5.7,22,27.7
06-10-2021 08:30,06-10-2021 08:45,44,77,8.5,23.3,31.7
06-10-2021 08:45,06-10-2021 09:00,44,77,7.7,19.5,27.2
06-10-2021 09:00,06-10-2021 09:15,59,107,6,17.7,23.7
06-10-2021 09:15,06-10-2021 09:30,59,107,5.7,17.9,23.6
06-10-2021 09:30,06-10-2021 09:45,59,107,3.4,16.6,20
